unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696289764,1108,1129,MuchBetterThanPat,196,-21,True,75.04,69.82,5.220000000000013,1.0,1,1165,1,810
1696291242,1116,1043,Michael1909,190,73,True,84.19,76.75,7.439999999999998,1.0,0,1478,5,1153
1696291415,1122,1134,AlexandeRivera29,226,-12,True,93.17,78.48,14.689999999999998,1.0,1,173,4,207
1696291609,1130,1179,9Lives888,274,-49,True,87.38,68.03,19.349999999999994,1.0,2,194,1,558
1696292333,1139,1167,GarryMcwormeater,101,-28,True,78.41,71.67,6.739999999999995,1.0,3,724,0,2620
1696293463,1148,1183,GoldGiovanna,47,-35,False,73.7,72.58,1.1200000000000045,1.0,4,1130,3,1112
1696294451,1157,1148,guhasay,7,9,True,86.96,80.56,6.3999999999999915,1.0,5,988,0,356074
1696295430,1165,1189,benjaminhorowitz,124,-24,False,76.04,70.21,5.8300000000000125,1.0,6,979,1,853
1696296994,1174,1204,blackrazor33,359,-30,False,57.88,51.51,6.3700000000000045,1.0,0,1564,12,374
1696298590,1183,1157,Kegzen,40,26,False,80.8,70.01,10.789999999999992,1.0,0,1596,5,563
1696301357,1190,1185,Reza_Amiri_89,242,5,True,49.4,59.06,-9.660000000000004,0.0,0,2767,0,25248
1696302264,1182,1154,iceberg1992,23,28,False,62.61,56.6,6.009999999999998,1.0,1,907,1,908
1696304678,1189,1159,haduyenquanghuy,86,30,False,67.87,82.12,-14.25,0.0,0,2414,2,978
1696305292,1180,1215,sumitacharya,56,-35,True,75.1,64.67,10.429999999999993,1.0,1,614,0,2722
1696306957,1189,1230,AmardeepMatharu,87,-41,True,70.37,72.63,-2.259999999999991,0.0,0,1665,0,8237
1696307380,1182,1220,Emiliti,80,-38,True,68.25,60.22,8.030000000000001,1.0,1,423,0,32731
1696308140,1191,1188,chesscraa,152,3,False,75.83,60.41,15.420000000000002,1.0,2,760,0,127017
1696311460,1199,1201,Tanti_lingga_lestari,213,-2,True,70.88,64.39,6.489999999999995,1.0,0,3320,0,7163
1696446628,1207,1215,Spoonyboi,303,-8,True,76.0,76.92,-0.9200000000000017,0.0,0,135168,1,931
1696446959,1199,1213,choefer310,351,-14,False,47.88,62.93,-15.049999999999997,0.0,1,331,3,628
1696448145,1191,1213,Relistopic25,106,-22,False,58.72,53.24,5.479999999999997,,2,1186,2,1226
1696448776,1192,1234,chessman1717,252,-42,False,71.58,80.96,-9.379999999999995,0.0,3,631,0,270088
1696449419,1185,1153,nameNotFound123,173,32,True,54.15,66.11,-11.96,0.0,4,643,0,4081
1696450349,1176,1167,Diegoaguia,70,9,False,79.33,75.87,3.4599999999999937,1.0,5,930,0,16873
1696451173,1184,1224,LeChiffre2002,277,-40,False,67.96,73.71,-5.75,0.0,6,824,0,8792
1696452107,1177,1173,BlackPearl75,10,4,True,75.63,82.48,-6.8500000000000085,0.0,7,934,0,21665
1696452412,1169,1156,Adr16284,62,13,True,72.62,65.85,6.77000000000001,1.0,8,305,1,311
1696453001,1183,1236,Spangdaddy5,172,-53,False,57.75,41.41,16.340000000000003,1.0,9,589,9,590
1696453335,1192,1233,fruesch,72,-41,True,84.18,60.18,24.000000000000007,1.0,10,334,0,3027
1696453602,1201,1236,nawzam,70,-35,False,81.38,63.57,17.809999999999995,1.0,11,267,0,2657
1696454834,1210,1258,Littlebeanz,161,-48,True,64.26,66.46,-2.1999999999999886,,12,1232,1,1200
1696455011,1211,1180,Munguba,78,31,False,86.52,73.25,13.269999999999996,1.0,13,177,0,46871
1696455976,1218,1234,WOWELIII,99,-16,True,74.78,83.92,-9.14,0.0,14,965,5,966
1696456868,1210,1152,ABorrasB,99,58,True,69.33,55.34,13.989999999999995,1.0,15,892,2,1193
1696457893,1217,1210,savdog,241,7,False,75.27,86.77,-11.5,1.0,16,1025,0,27586
1696458919,1225,1218,vmval1,571,7,True,76.1,62.91,13.189999999999998,1.0,17,1026,2,1085
1696459532,1233,1263,greenglory4,215,-30,False,85.03,79.34,5.689999999999998,1.0,18,613,2,730
1696460732,1242,1256,klaussy,47,-14,True,72.45,63.48,8.970000000000006,1.0,19,1200,1,1162
1696462442,1250,1209,badasheretowin,121,41,False,77.26,74.1,3.160000000000011,1.0,0,1710,2,1172
