unix,player_name,opp_name,player_elo,opp_elo,elo_diff,player_acc,opp_acc,acc_diff,color,x-ma5,x-ma20,opp_x-ma5,opp_x-ma20,won,num_reque,time_since_prev,prev_acc,prev_x-ma5,prev_x-ma20
1696284818,BIG_TONKA_T,sertanero,1089,1081,8,67.47,71.26,-3.7900000000000063,False,15.799999999999955,6.75,6.2000000000000455,5.0499999999999545,1.0,2,620,73.82,10.799999999999955,58.950000000000045
1696286448,BIG_TONKA_T,dovazar,1097,1074,23,76.44,80.2,-3.760000000000005,False,16.799999999999955,-0.20000000000004547,-13.0,-36.700000000000045,0.0,0,1630,67.47,15.799999999999955,6.75
1696287269,BIG_TONKA_T,Tmsklimster,1088,1129,-41,74.9,63.64,11.260000000000005,False,2.7999999999999545,54.950000000000045,17.40000000000009,26.549999999999955,1.0,1,821,76.44,16.799999999999955,-0.20000000000004547
1696288599,BIG_TONKA_T,Ehabbody,1097,1237,-140,68.19,60.92,7.269999999999996,False,6.7999999999999545,162.29999999999995,5.400000000000091,-6.25,1.0,0,1330,74.9,2.7999999999999545,54.950000000000045
1696289764,BIG_TONKA_T,MuchBetterThanPat,1108,1129,-21,75.04,69.82,5.220000000000013,True,12.200000000000045,53.5,2.0,12.950000000000045,1.0,1,1165,68.19,6.7999999999999545,162.29999999999995
1696291242,BIG_TONKA_T,Michael1909,1116,1043,73,84.19,76.75,7.439999999999998,True,14.799999999999955,-34.09999999999991,12.400000000000091,20.5,1.0,0,1478,75.04,12.200000000000045,53.5
1696291415,BIG_TONKA_T,AlexandeRivera29,1122,1134,-12,93.17,78.48,14.689999999999998,True,15.799999999999955,54.59999999999991,10.0,6.400000000000091,1.0,1,173,84.19,14.799999999999955,-34.09999999999991
1696291609,BIG_TONKA_T,9Lives888,1130,1179,-49,87.38,68.03,19.349999999999994,True,15.400000000000091,96.54999999999995,-2.7999999999999545,1.849999999999909,1.0,2,194,93.17,15.799999999999955,54.59999999999991
1696292333,BIG_TONKA_T,GarryMcwormeater,1139,1167,-28,78.41,71.67,6.739999999999995,True,16.0,80.70000000000005,3.400000000000091,12.799999999999955,1.0,3,724,87.38,15.400000000000091,96.54999999999995
1696293463,BIG_TONKA_T,GoldGiovanna,1148,1183,-35,73.7,72.58,1.1200000000000045,False,17.0,92.79999999999995,11.799999999999955,3.900000000000091,1.0,4,1130,78.41,16.0,80.70000000000005
